sentiment,topic,emotion,intensity,reasoning,true_label,text
1,历史准确性,兴奋,4,评论者对电影的历史细节和演员表现非常满意,1,"This movie is one of the sleepers of all time. I gave it a 10 rating. The story is of the famed 'Bushwhackers' out of Missouri that fought on the side of the South during the War Between the States. The clothing they wore were authentic, the history and why they fought is very accurate and well researched. There was actually one of the battles that did not take place as they depicted... but not bad for Hollywood. The actors were well cast and were either the most brilliant of actors or the director really know how to get the best from them. I suspect it was a combination of great directing, super casting to find the right people and excellent performing by the actors. Not just one or two... this movie really jelled! It has action, romance, suspense, good guys and bad guys (sometimes depending on your individual perspective) and history all rolled into one movie. Even has the future Spiderman and Jewel. And she's good!"
1,演技,喜悦,4,评论者高度赞扬了Peter Ustinov和Maggie Smith的表演,1,"Without Peter Ustinov and Maggie Smith, this could easily have been a turkey. But they are brilliant. Ustinov is at his best, and for fans of Maggie, it is great to see her in her early days, matching Ustinov every step of the way for with and timing. For Englishmen in their fifties (and I am in that bracket), it is always entertaining to see glimpses of and hear sounds of the Swinging Sixties, and although this film spends a lot of time in offices, it has plenty of Sixties nostalgia, including red buses, Carnaby Street, a song by Lulu and a delicious shot up the micro-skirt of a waitress, the like of which England has never seen since in public places. As an I.T. engineer, I know that the computer hacking tricks are laughable, but they are not meant to be taken seriously. Nor are the wonderful stereotypes of Italians, French and Germans."
0,剧情,愤怒,4,评论者强烈批评电影剧情混乱且缺乏原创性,0,"The Ballad of Django is a meandering mess of a movie! This spaghetti western is simply a collection of scenes from other (and much better!) films supposedly tied together by ""Django"" telling how he brought in different outlaws. Hunt Powers (John Cameron) brings nothing to the role of Django. Skip this one unless you just HAVE to have every Django movie made and even THAT may not be a good enough excuse to see this one!!"
1,剧情,惊喜,4,评论者认为电影思想深刻，具有预见性,1,"I've seen tons of science fiction from the 70s; some horrendously bad, and others thought provoking and truly frightening. Soylent Green fits into the latter category. Yes, at times it's a little campy, and yes, the furniture is good for a giggle or two, but some of the film seems awfully prescient. Here we have a film, 9 years before Blade Runner, that dares to imagine the future as somthing dark, scary, and nihilistic. Both Charlton Heston and Edward G. Robinson fare far better in this than The Ten Commandments, and Robinson's assisted-suicide scene is creepily prescient of Kevorkian and his ilk. Some of the attitudes are dated (can you imagine a filmmaker getting away with the ""women as furniture"" concept in our oh-so-politically-correct-90s?), but it's rare to find a film from the Me Decade that actually can make you think. This is one I'd love to see on the big screen, because even in a widescreen presentation, I don't think the overall scope of this film would receive its due. Check it out."
1,幽默,惊喜,4,评论者认为电影非常搞笑，超出预期,1,"Okay , so this wasnt what I was expecting. I rented this film just to see how it would be since I want to see the first one anyway. But , this film had B-movie all over it. But when I watched it I realized that it was very funny. For the first 30 minutes It was just how the snowman was kiiling people and one man losing his sanity. But , those first few minutes had some funny one liners in it. When He throws up the first of his little minions I knew this would be very very funny. They all act like the gremlins in the ninteen eighty four hit gremlins that it made it look like it was spoofing it and made me forget it was a B-movie. So if you like to laugh rent this one."
0,剧情,失望,3,评论者对电影剧情感到失望，认为质量不高,0,"This movie is very scary with scenes where the Devil uses Gabriels horn to open Heaven and pull the good angel-dogs out and imprision them on Alkatraz. The devil sings and dances to a few songs about the joys of being bad, and at one point, eats a live rat.<br /><br />We got this movie free with a pizza. You get what you pay for."
0,剧情,失望,3,评论者对剧情的随机幽默感到失望,0,"Ya know what? Family Guy started out as something fresh, funny and more original. The random humor USED to be funny. I actually used to think it was the best animated sitcom next to The Simpsons. After watching the new episodes that aired for the past few weeks; I grew fed up with the show relying too much on random humor to be funny. South Park was right about FG dead on when they brought up the Manatees and the idea balls.<br /><br />And watching the show itself, I don't understand why my parents like it so much; there's nothing great about it. The ""Intellegent"" humor is funny and would've been funnier if the show didn't rely on randomness."
1,导演,兴奋,5,评论者对导演和演员的关联感到惊喜和兴奋,1,"I have seen The Running Man several times as I am a Stephen King fan and have all his movies but now it is even better because up until 2 days ago I didn't know about this website and I didn't realize that the Paul Michael Glaser that was involved with this movie was the same Paul Michael Glaser that I grow up watching on Starsky and Hutch television show. For me this is a pleasant surprise because I can't tell you how many times I cried when Starsky or Hutch got hurt. The episode where Starsky (Kill Starsky) almost died I cried so hard My dad had to turn away from the show. What to you expect of a kid at age 12. Now, I intentionally look for films and programs involving Paul or David Soul and anything that Stephen King has his hands on I'm so there!!!!!!!! Just got to say Happy birthday Paul!!!!!"
0,剧情,失望,3,评论者对剧情和表演感到失望，认为电影质量低劣,0,"OK another film bought by me and Joe Swatman. OK this isn't the worst film i've reviewed this week but it still sucked royaly. we had a lot of fun watching this piece of crap.<br /><br />The Monster Jigsaw is a mish mash of all these dysfunctional students ideas, u just know ur in for trouble when someone equips him with a buzzsaw and a sawed of shotgun, the film wasn't as gory as we hoped, i mean on of the deaths is a heart attack. Again i think the acting sucks, sum of the actors must be porn stars and one get into her undies for what ever reason. <br /><br />The absolute worst part is the ending, it leaves it open for a bit of a Jigsaw 2 but thats never gunna happen lets face it.<br /><br />My ratings:<br /><br />funny 4/100 mock (how much fun we had mocking it) 73/100 acting 8/100 generally 12/100"
1,导演,兴奋,4,评论者高度赞扬导演的悬疑构建和氛围营造,1,"I originally saw this movie as a boy at the old Rialto Theatre as part of a Saturday afternoon matinée triple bill which also featured Vincent Price's ""Last Man on Earth"" and Mario Bava's ""Nightmare Castle."" I had nightmares about blood lusting ghosts for a week afterwards! Though I didn't know it then, all three movies would prove to be classics of the genre. No wonder I was so scared! Though all three films frightened me, it was Castle of Blood that had the most profound impact.<br /><br />It was the first on the bill. I didn't even get to see it from the beginning as we were late getting to the cinema and missed the first 20 minutes of the movie. That's lot to miss since the edited print only ran about 79 minutes (the unedited runs 87minutes). But despite this, the dark creepy atmosphere (complete with ruined castles, fog enshrouded cemeteries, shadows and cobwebs), Gothic set design, strong acting, and suspense (especially the last 20 minutes) scared the bejeepers out of me and made a lasting impression It took me years to finally get a copy of the film for my collection. Since it was a French - Italian import, it wasn't a movie that showed up on the late show in Winnipeg. I couldn't quite remember the title (remember I didn't get to seen the beginning of the film and was scared witless), and to make matters worse, the film had been released under literally a dozen different movie titles (aka Danze Macabre, Coffin of Terror, Castle of Terror, Long Night of Terror, etc...) and the USA/UK working title ""Castle of Blood"" was very generic, similar to dozens of other ""b"" horror and suspense films, making it illusive. But thanks to the internet and perseverance, I found it at last! What a treat to finally watch the film in its entirety after so many years! It may not have had quite the sheer emotional impact that it did when I was a boy, but as haunted house movies go, it's stands up well and compares favourably to similar iconic films of the period such as ""The Haunting,"" ""The Innocents"" or ""Black Sunday,"" The film is a fine early effort of Italian director Antonio Margheriti. It stars 60's scream queen icon Barbara Steele and features a well written screenplay by Sergio Corbucci about a sceptical writer (Georges Riviere) who, on a bet, spends the night in haunted house and unsuspectingly becomes part of an annual ongoing ghostly story. The hypnotic Steele is well cast as the ghostly love interest - as is Arturo Dominici as Dr. Carmus, and Margarete Robsahm as Julia.<br /><br />Many of the tricks Margheriti employs to create the film's eerie atmosphere (cobwebs, creaking doors, fog, etc) are bound to seem cliché to a modern audience, but they work far more effectively in black and white than they ever could in modern day colour. Rather than using body counts and special effects, the film creates scares the old fashion way, relying on a good story, stylish direction, fine set production, interesting camera work, and strong acting performances. Margheriti does a marvellous job taking these elements and building the film's suspense as the horrifying paranormal secret of the house gradually reveals itself to the unwitting writer.<br /><br />The film is not without faults. The pace drags at the beginning of the film (ironically, the 20 minutes I originally missed). This is probably worsened by Synapse films effort to restore the film to its original length. Though fans will likely appreciate the chance to see the film restored - in terms of the intro - it may have been more of hindrance than a help. The English voice dubs are merely passable and, in the restored scenes, the language shifts from English to French (English subtitles provided) which is sure to be annoying to some viewers.<br /><br />However, Synapse Films deserves kudos for the quality of the print. Clearly some effort was put into its restoration and deservedly so.<br /><br />I enjoyed the film immensely and highly recommend it to aficionados of 60's Italian Goth films, or anyone who enjoys a good ghost story.<br /><br />Rob Rheubottom Winnipeg, MB Canada"
1,音乐,怀旧,4,评论者充满怀旧情感地回忆了童年节目和音乐,1,"In the spirit of the Great Space Coaster, but a few years earlier.<br /><br />Hot Fudge was one of the psychedelic kid's shows that I grew up on. Seymour was a big, fuzzy, green puppet, with a crescent smile of enormous teeth which nearly split his head, I recall him wearing a variety of Elton John-type shades.<br /><br />He ""played"" piano, and had a Jesus looking dude in a white tux, sitting next to him. They would have a moral discussion and then do a song about it.<br /><br />Don't remember much else except the opening theme, Seymour and the Hippie.<br /><br />No one else I know remembers it at all. I grew up in Jersey, so if it was produced in Detroit as a previous post said, it wasn't just local. Seymour reminded me a lot of Sherlock the Squirrel from the Magic Garden (another psychedelic kids show if there ever was one.) People always talk about LSD's effects of music and movies of the 70s, but it seems kid's show writers got a dose as well."
1,演技,感动,4,评论赞扬演员表现，特别是主角和配角的情感演绎,1,"Despite the lack of logic present in the storyline, Kill Shot is a highly enjoyable film. Through a moving performance Kasper Van Dien brilliantly portrays the emotional rift between a hard working wealthy father and his misguided son. Each member of the supporting cast pitches in with a solid performance, highlighted by the vivid acting of a young asian man whose name I cannot recall. A shockingly tragic ending may unnerve some younger viewers, but as a whole Kill Shot truly delivers a death blow."
0,剧情,失望,3,评论批评剧情过于复杂且未解决，角色不讨喜,0,"This movie has more on its plate than a sumo wrestler and the result for the viewer is indigestion. There are some good performances, but the subplots are extraneous and largely unresolved.<br /><br />In addition, I found all the characters unlikeable, and if you can't identify with at least one character, there isn't much to get excited about. All in all, this is a classic example of trying to do too much with too little."
0,剧情,愤怒,4,评论者对电影剧情、目标受众和音效表示强烈不满,0,"Hello all--for what it's worth, I'm in a doctoral program on Indonesian politics and returned this semester after about a year's fieldwork, most of it in Jakarta.<br /><br />I'm a big movie fan generally, so I went out as often as I could, and bought tons of local VCDs while I was there. This one I saw in the theater, since it opened while I was there, and, thankfully, closed soon after. <br /><br />Who was the intended audience for this film? The spoiled wives and daughters of the Indonesian super-elite whose antics are weakly and ineffectively parodied? The vast majority of Indonesians who could never afford even a single dish, let alone a full meal, in the film's central restaurant location? Or gay Indonesian males, whose dilemma in the country's Muslim-dominated society is reduced to absurdly simplistic, how-to-respect-yourself preaching. <br /><br />If all this wasn't bad enough, the soundtrack was either recorded or mixed so ineptly that even native-speaking Indonesians couldn't hear many of the lines.<br /><br />In brief, if you're looking for a cutting-edge gay-themed film from a region of the world that seems among the least likely to produce such an animal, forget it. ""Westler"" from the early '80s, or ""My Beautiful Laundrette,"" from the same era, succeed far better in putting a happier face on dealing with homophobia, and do so by showing not telling through incessant, wordy scenes. <br /><br />Overall, an unfortunate waste of money in a country that still can't educate all of its children nor keep them healthy."
0,剪辑,愤怒,4,评论者批评剪辑和音效过于戏剧化，分散注意力,0,"It was like someone was trying to make a scary video game and a documentary at the same time. The historical aspect was great. Everything else was horrible, the plugs for the directors other movie that seemed to happen every other minute, the video of the actual ghost hunting was edited like a scary movie rather than an investigation, they had haunted house music and sound effects that would distract you from what was happening. THanks for wasted 2 hours of my time! When there was evidence, it would fly by! Most of it was just people talking about the place.The episode of the Ghosthunters show that went there absolutely destroys how this show was. I am so upset with sci fi channel for playing this, I haven't watched it since it aired."
0,演技,愤怒,4,批评演员表现极差，浪费时间和金钱,0,"How to qualify this film, simply HORRIBLE. It is badly done with poor dialogues, Reeves played as bad as ever and Cameron Diaz competed with him. Do not waste your time watching such a film although a big waste of money has already occurred to make the film."
0,演技,愤怒,4,评论者对演员表现极度不满，特别是Tom Courtenay的表演,0,"There's something intriguing about disaster movies. The simple, primal premise can lead to several great stories. Granted, most disaster movies tend to explore familiar territory instead but I can usually live with that.<br /><br />Unfortunately, Flood probably marks the low point in the history of this sub-genre. Robert Carlyle is undoubtedly the star of the movie, even though screen time is split between different locations and characters. He gives a barely decent performance. As well, Joanne Whalley is very uneven. Veteran actor Tom Courtenay (he played in Doctor Zhivago for heaven's sake) is particularly bad. I mean, his timing is completely off most of the time and his characterization is extremely poor. What an embarrassing performance for that man. The rest of the cast ranges from decent to really bad with one exception: Jessalyn Gilsig, whom I thought might be there as a plot device/eye candy gives by far the most convincing performance. Doesn't mean much considering how bad everybody else is but still nice to see that she cared.<br /><br />The script is really bad, confusing and cliché. Some of the worse lines I have heard in quite some time are delivered by the actors one after the other.You've seen this story a thousand times. It employs every dramatic hook and tear-jerkers you've seen in ""Outbreak"", ""Armageddon"", the Poseidon movies (original and remake) and many others.<br /><br />The direction is awful. No sense of timing, nothing inspired. The shots are bland, dialog and action both fail to flow. Editing is bad but how do you edit such a mess? Without a doubt, this movie tried to rely way too much on (rather poor) CGI. The human factor, the drama and struggles of the characters are glossed over. Scenes where the characters must actually face the flood are rare and poorly done. The made-for-TV feel gives nausea. Some guy is supposed to go down a rope from an helicopter? No problem, let's show him inside a helicopter and make a really poor cut/editing job and have the next frame with him safely on the ground, in the most obvious way possible.<br /><br />The movie score is rather poor. All over the place, no timing.<br /><br />The ending is probably the worse I have seen in quite some time. Very much like they ran out of ideas. Scrap that, you can't run out of something if you never had it in the first place. Must have ran out of budget.<br /><br />This is a really amateur job. I give it a 2 for using London as a location, which is a nice change, for Gilsig being actually decent in a key support role and for the few CGI shots that were decent (those of the water closing in on London and the gates).<br /><br />Do yourself a favor and check out Day After Tomorrow or just about any disaster movie before this one. This includes older classics like The Towering Inferno."
1,摄影,感动,4,评论高度赞扬电影的摄影和真实感,0,"I saw Chan Is Missing when it first came out, about four years after moving from San Francisco to New York. Maybe it was the perspective of a few years away, but this movie seemed to capture the essence of the city and its people better than anything else I'd ever seen (still does). It concentrates on one particular community - the Chinese - but that's fine, because so much of the city's soul is refracted through the settings, the faces, and the maybe above all the voices of the characters.<br /><br />This isn't the tourists' San Francisco. The settings are humble and everyday: a taxi cab, the kitchen of a Chinese restaurant, Richmond District row houses, little Chinatown apartments and small-business offices, the piers, a Philippine elder center. This is what the city looks and feels like day to day to the people who live there - even now, in the era of Silicon Gulch urban redevelopment. Unlike, say, Dirty Harry (in its own way an excellent San Francisco movie as well), everything is filmed at street level: We come to understand the characters' points of view from the perspective their surroundings give them, not from some fancy vertiginous shooting.<br /><br />Wang apparently filmed in B&W because he didn't have the money to do otherwise, yet one of the strongest visual elements of the movie is the natural light he achieves. The often harsh, pervasive quality of the sunlight is one of my closest associations with San Francisco: It seems to expose everything, bringing the buildings, the hills, the other landmarks down in scale and, in a funny way, making the people you pass on the streets seem more individual and potentially closer to you than they might in another place. Wang's photography perfectly conveys this, and even helps the story along at points.<br /><br />Wang captures the speech and conversational style of Chinese and other San Franciscans better than anyone ever has, I think. If there's such thing as a true San Francisco ""accent,"" it's what you hear from the balding taxi medallion broker (I think) who appears talking on the phone in one scene (listen to the way he calls the person on the other end ""ya dingaling!"").<br /><br />The story is poignant and, despite a few very small missteps, makes its points beautifully about the longings that pull at the hearts of people living in old immigrant communities - including the justified political and ethnic resentments, and little ironic amusements, that help to fuel them. All this is communicated delicately - perhaps why some respondents here think the film meanders. It doesn't - suffice it to say that the two cab drivers' quest for Chan becomes a quest for something more personal.<br /><br />Chan Is Missing finishes up with a Chinatown travelogue sequence backed by a goofy novelty song from the 1930s (I guess) about San Francisco and all its crazy diversity. An American caricature, yes, but somehow not entirely off the mark either."
1,剧情,满意,4,评论者认为电影是Johnny Weissmuller Tarzan系列中最好的一部，混合了动作、悬疑和浪漫。,1,"Considered by almost all the critics to be the best of the Johnny Weissmuller Tarzan films, I have no argument with that, although there are a couple of others I thought just as entertaining. One thing: it's the longest of the series that I've seen at 105 minutes. I've only seen six of them but this was longer than I'm used to and with the drawn-out action finale I thought the whole thing was a bit too long.<br /><br />Nonetheless, it is a good mixture of action, suspense and romance. The only things missing are color and stereo sound. The primitive special-effects don't bother me, as that was all that they had back in the 1930s.<br /><br />Among some, this film is most noted for one thing: skin! ""Jane"" never wore anything this skimpy after this film as the Hays' Code was instituted by the time the next Tarzan film was made. Her outfit showed what a great figure Maureen O'Sullivan possessed. The nude underwater scene, however, was not her - by a longshot. The woman under the water didn't have a good figure at all, whoever it was.<br /><br />There is plenty of action in here. Up to the finale, it was not overdone, either. The ending went on for 15 minutes, though, and was so intense that it was almost too much to watch.<br /><br />Still, this movie offers about everything - except ""Boy"" (their adopted son) - you'd want to see in a Tarzan film, even O'Sullivan doing her Tarzan yell about a dozen times. With her pair of ""lungs,"" that was no problem."
0,导演,失望,4,批评导演缺乏基本电影叙事技巧,0,"As far as I can understand, TIW WATCHER is the first work of a young director. My doubt is if this is the work of a regular guy who happens to love films or if this is the work of a cinema student, since there is a reference to Oporto School of Arts in the final credits.<br /><br />Nevertheless, director Ricardo Pinho demonstrates with this movie a total unawareness of some basic notions about cinema. What is a movie? How to tell a story? It doesn't matter, for the novice director. One of the first things you learn in school when you're studying cinema is how to tell a story. You learn that, just like in novels, in movies you should also construct your story in three acts: the introduction, the development and the conclusion. You learn that your story should have a protagonist and an antagonist and that there should be a climax. You learn this is valid for a 3-hour-epic, for the regular movie, for a short film and even, believe it or not, for a 30-second commercial. You also learn there can be levels of subtleness in your approach to the academic structure and that, ultimately, you can even deconstruct it.<br /><br />In rough terms, TIM WATCHER introduces us its main character and then, the movie ends - the whole movie sounds like the introduction of the characters in Jeunet's AMÉLIE. There are no second or third acts in TIM WATCHER. This is not a parody or an art film, thus you can't even try to justify the disrespect for the academic structure. You are expecting to be told a story, and it doesn't happen. Worst than that, TIM WATCHER defines itself as a warning; and one with no real purpose. It doesn't make a point, or at least, not a valid one. Its point is childish, with a sense of vengeance. The situations portrayed are utterly simple and its approach is Manichaean.<br /><br />I was expecting a lot more from this short. The movie opens with a rather good-looking credits sequence and you quickly realize you are watching something with better production values than the regular Portuguese short film. I don't know the budget for this movie, but judging for the thanks-list in the end credits, merit must go to the production team for such good connections in a country where's difficult to have doors opened to young filmmakers.<br /><br />TIM WATCHER seems to be an exercise in style, color and carefully chosen plans, combined with a fine score. That's all. There's nothing else. There's no plot. And that's a shame because it feels like a waste of production values. Hardly, you can see in the regular Portuguese short such diversity of locations and so many available extras to enrich a story.<br /><br />As absurd as the comparison may sound, I must refer the BMW shorts as a fine example of how you can tell a good story in a very short film severely conditioned to product placement and over-the-top stylish cinematography."
0,剧情,失望,3,评论认为剧情老套，缺乏深度,0,"Take young, pretty people, put them in an exotic locale, stick in a few bad guys, have the two lead characters find romance after a couple of heavy breathing scenes, create the flimsiest of plots, then work out a happy ending for everybody (other than the three or four who get murdered, of course) That's the classic (and successful) format of the Harlequin Romance. It's not very good but then it's not very bad either, like most of the little yellow pocket books. And the location stuff in Budapest is especially interesting, even if they didn't use the wonderful old train station (designed by Gustave Eifel) or show the city's famous thermal baths."
0,剧情,失望,3,评论认为剧情老套，动作场面平庸，缺乏惊喜,0,"My Take: Routine political thriller with mediocre action scenes and predictable twists. <br /><br />A rarely seen political thriller, which made a very poor box-office response, I managed to catch THE SHADOW CONSPIRACY on TV just now, and while I was glad that I satisfied my curiosity to see this rare film, I didn't exactly feel this film was all special. Considering the box-office response to it, SHADOW CONSPIRACY is not all quite as bad as critics and the public reacted to it, but still ain't very good to begin with and everything, from script to direction, is pretty predictable. Charlie Sheen plays the presidential assistant who finds himself caught up with assassins and chases (a lot of them) when he discovers a deadly conspiracy which lurks amongst the White House staff. After a professor is murdered, Sheen aids the help of ex-flame reporter Amanda Givens (Linda Hamilton) to uncover the traitor and unlock the conspiracy of the title. <br /><br />But this script, written by Adi Hasak & Ric Gibbs, are pedestrian as they come, not much differing from other White House conspiracy thrillers as in ABSOLUTE POWER and MURDER AT 1600. Some considerable talents (Donald Sutherland, Ben Gazzara and Stephen Lang) try their best on a routine script, but rarely saves it from predictability of the script. Not to mention a ludicrous scene which involves a toy helicopter, which seems far too silly and out-of-place in this ""serious"" political thriller. THE SHADOW CONSPIRACY has its moments I'm sure, some of which are much to under-appreciated (director George Pan Cosmatos serves up some decent chase scenes), but none of which lifts this routine thriller of which there's not much payoff or surprises. <br /><br />Rating: ** out of 5."
0,演技,失望,3,评论批评演员表现差，特别是主角和女演员,0,"While not as bad as it has been made to be (I have seen MUCH worse), this is still a very lame movie. Basically a rehash of Siegel's ""Coogan's Bluff"", with the main difference being that Clint Eastwood's hat has more charisma than the whole of Joe Don Baker, an unappealing actor if there was one.<br /><br />However, Venantino Venantini is great (and great fun) as the bad guy, sort of a budget Vittorio Gassman. He is the main reason to sit through this steampile, as the rest of the cast deliver mostly terrible acting, specially the girl. Poor old Rossano Brazzi, hard to believe he was once a romantic lead (watch ""Mondo Cane"" to see him running away from women). Looking here like a second-tier Ben Gazzara, he's given next to nothing to do. It's all Joe Don's show, unfortunately. And all of it scored to generic 80's ""action movie"" music that couldn't be more boring.<br /><br />Greydon Clark can make good B-Movies (""Without Warning""), but here he trips, falls, breaks his nose and loses three teeth. Well, at least the Malta locations were nice, and there's Venantini to try to save the day. 3/10."
